State,City,Neighborhood,total population,prop males,prop females,prop of people under 5,prop of people aged 5-9,prop of people aged 10-14,prop of people aged 15-19,prop of people aged 20-24,prop of people aged 25-34,prop of people aged 35-44,prop of people aged 45-54,prop of people aged 55-59,prop of people aged 60-64,prop of people aged 65-74,prop of people aged 75-84,prop of people aged over 85,median aged,prop of white people,prop of black people,prop of native american people,prop of asian people(including indian and chinese),prop of pacific islander,prop of employeed people 16 and over,prop of commuters who drive to work,prop of commuter who carpool to work,prop of commuter who took public transport to work,prop of commuters who walk to work,prop of commuters who work from home,prop with health insurance ,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,prop of people 25 years or older who have high school degree,prop of poeple 25 years or older who have an associates degree,prop of people 25 years or older who have a bachelors degree,prop of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,prop of people born in the US,prop of people born outside the US,prop of naturalized citizens,prop of non-citizens,prop of people with a disability
Arizona,Pheonix,Ahwatukee Foothills,36305.42857142860,0.497816147,0.502183853,0.057996049,0.064240688,0.07658831,0.066570131,0.057767827,0.150603216,0.136126829,0.14486224,0.066515043,0.05766552,0.077422503,0.033796599,0.009845045,38.51428571,0.743879283,0.122565025,0.036794623,0.091758004,0.005003064,0.682921678,0.704188542,0.085436085,0.011039927,0.006776603,0.192558842,0.907133132,25.7,13262,13998,55.85714286,1214.142857,3154,4774,3163.571429,1118.142857,260.1428571,163.7142857,46.42857143,48,0.243372652,0.129449733,0.389926268,0.237251347,107436.57142857100,1736.142857142860,0.74447364,0.12776318,0.069587886,0.058175294,0.086555336
Arizona,Pheonix,Alahambra,35381.0,0.502317628,0.497682372,0.069579718,0.068615924,0.068013906,0.075116588,0.0808937,0.159902207,0.137217716,0.118645601,0.054568836,0.0496142,0.070622651,0.031887171,0.015321783,34.55,0.781469855,0.120870713,0.046120631,0.049532838,0.002005964,0.650967951,0.690926141,0.132378604,0.040758153,0.021288884,0.114648218,0.822418812,25.62,13577.8,14702.3,49,645.1,866.7,1166.6,2269.7,3435.4,2605.7,2744.2,639.3,280.6,0.424151674,0.12695524,0.283190122,0.165702965,59168.2,1198.3,0.644032052,0.177983974,0.059162173,0.118821801,0.143503575
Arizona,Pheonix,Camelback East,32076.5,0.520191313,0.479808687,0.045279774,0.042253155,0.044567934,0.065749069,0.109044004,0.206524507,0.126759466,0.108797198,0.057108267,0.052912568,0.077917894,0.041289314,0.02179685,38.375,0.846857797,0.065104569,0.028126125,0.055300458,0.004611051,0.694782531,0.684805269,0.079403961,0.027124988,0.028195774,0.180470009,0.873141812,21.8,14555.75,16415.66667,85.83333333,1650.916667,1634.25,1621.916667,2273.333333,3253,2627.5,2496.166667,499.0833333,273.6666667,0.233589614,0.097259656,0.409907975,0.259242755,82302.91666666670,1473.4166666666700,0.733426131,0.133286934,0.051795394,0.08149154,0.105253586
Arizona,Pheonix,Central City,26470.625,0.522541496,0.477458504,0.067352962,0.066663519,0.071584067,0.084008217,0.088824877,0.19863528,0.139805917,0.115019007,0.049200765,0.041980497,0.047892711,0.021764692,0.00726749,31.5,0.766928022,0.151848686,0.049890379,0.028018282,0.00331463,0.647741728,0.667128056,0.148329839,0.043967676,0.021749751,0.118824679,0.752829788,22.4,9365.375,10300.75,70,883.125,1220.625,882.625,1016,1351.5,1505.875,1710.75,810.125,850.125,0.499644321,0.100842249,0.255505919,0.144007512,53035.0,1170.5,0.59825541,0.200872295,0.054382622,0.146489673,0.106509574
Arizona,Pheonix,Deer Valley,34242.63636363640,0.495209322,0.504790678,0.058319108,0.061000507,0.062880141,0.059850957,0.059107598,0.15294861,0.135147835,0.138652238,0.068659752,0.059187244,0.091488814,0.038073215,0.01468398,38.37272727,0.882810898,0.041886708,0.015839923,0.058700171,0.0007623,0.679116349,0.702958126,0.088582973,0.009046065,0.015680193,0.183732643,0.910016487,26.80909091,13524.36364,14274.81818,55.18181818,1087.363636,3209.909091,3495,3299.363636,2578.818182,355.2727273,109.2727273,30.81818182,53.81818182,0.312707583,0.15478523,0.334176226,0.198330961,92294.18181818180,1580.3636363636400,0.787389581,0.106305209,0.058673542,0.047631667,0.116447066
Arizona,Pheonix,Desert View,29235.88888888890,0.48838756,0.51161244,0.049855011,0.053336272,0.065858933,0.064593365,0.046328143,0.101154213,0.123896429,0.157891936,0.076842389,0.064209514,0.114041722,0.063677444,0.018314629,42.78888889,0.909243522,0.02305257,0.003311672,0.063704907,0.000687328,0.628927653,0.658205491,0.060997054,0.002297647,0.01029252,0.268207288,0.944326418,24.75555556,11954,13538.66667,123.3333333,2250.888889,5067.111111,4467.333333,1152.111111,317,59.66666667,45.44444444,23.66666667,32.11111111,0.165359899,0.105674748,0.4346265,0.294338853,112751.66666666700,1945.888888888890,0.797599631,0.101200184,0.064286255,0.036913929,0.085887589
Arizona,Pheonix,Encanto,27823.090909090900,0.518297425,0.481702575,0.061208153,0.060361897,0.062769969,0.066066773,0.081897312,0.206290393,0.142298418,0.119776249,0.051566064,0.045554053,0.063678305,0.028135558,0.010396858,34.01818182,0.801101519,0.113131294,0.04311151,0.039911277,0.0027444,0.677574549,0.672053653,0.114852194,0.041463732,0.024130746,0.147499674,0.800927287,22.77272727,11296,12562.63636,84.63636364,997.1818182,1108.545455,1013.818182,1207.090909,2016.545455,2023.818182,2370,1012.454545,728.5454545,0.370676815,0.110311809,0.322939684,0.196071692,59805.09090909090,1257.2727272727300,0.638185016,0.180907492,0.055657531,0.125249961,0.109758409
Arizona,Pheonix,Estrella,48059.71428571430,0.508917478,0.491082522,0.077478018,0.085295674,0.092774465,0.092391014,0.077055924,0.158255504,0.149495568,0.115077077,0.044637921,0.033190852,0.050416446,0.019130962,0.004800575,29.62857143,0.724043219,0.181712612,0.058855902,0.031445017,0.00394325,0.640742353,0.724068801,0.141360118,0.018450686,0.007495804,0.108624591,0.811163493,29.21428571,13359.28571,13879.42857,147.1428571,1647.428571,6376.428571,688.5714286,1128.142857,1855.428571,693.8571429,787.7142857,377.5714286,177.1428571,0.566252676,0.150206052,0.178374402,0.105166869,75022.0,1376.4285714285700,0.612546994,0.193726503,0.075688257,0.118038246,0.097004322
Arizona,Pheonix,Laveen,47981.4,0.512073428,0.487926572,0.072957438,0.077225758,0.087554761,0.079997666,0.065375333,0.1552685,0.144931161,0.123481182,0.055563197,0.048435435,0.060215,0.023146469,0.005848099,33.36,0.715636344,0.177560373,0.049580289,0.053834437,0.003388557,0.628406754,0.706386807,0.137096697,0.019812215,0.009322269,0.127382012,0.816812348,27.62,14292.8,15037.2,173.8,1356.8,5452.6,2093.8,1510.6,1352.6,1020.2,1343,513.2,220.6,0.465961195,0.131780052,0.25225467,0.150004083,78073.6,1422.0,0.607408418,0.196295791,0.075202947,0.121092844,0.105011525
Arizona,Pheonix,Maryvale,38732.166666666700,0.508903022,0.491096978,0.069890229,0.079399982,0.088995796,0.092111208,0.088933402,0.153315719,0.140914313,0.117503539,0.049775596,0.042167793,0.048166253,0.02127861,0.00754756,30.29166667,0.812385897,0.111878138,0.037033603,0.035878309,0.002824053,0.641585271,0.725303373,0.156325966,0.022107987,0.010515967,0.085746707,0.778179635,28.525,11352.08333,11924.33333,119.5833333,764.3333333,2591.833333,1467.583333,1669.166667,2177.083333,1342.583333,1386.5,257.5833333,148.0833333,0.583924216,0.143314992,0.179767712,0.09299308,68944.08333333330,1311.3333333333300,0.577614889,0.211192555,0.068684951,0.142507604,0.112712087
