State,City,Neighborhood,total population,number of males,number of females,number of people under 5,number of people aged 5-9,number of people aged 10-14,number of people aged 15-19,number of people aged 20-24,number of people aged 25-34,number of people aged 35-44,number of people aged 45-54,number of people aged 55-59,number of people aged 60-64,number of people aged 65-74,number of people aged 75-84,number of people aged over 85,median aged,number of white people,number of black people,number of native american people,number of asain people(including indian and chinese),number of indian people,number of chinese people,number of pacific islander,number of employeed people 16 and over,number of commuters who drive to work,number of commuter who carpool to work,number of commuter who took public transport to work,number of commuters who walk to work,number of commuters who work from home,people with health insurance,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,number of people 25 years or older who have high school degree,number of poeple 25 years or older who have an associates degree,number of people 25 years or older who have a bachelors degree,number of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,number of people born in the US,number of people born outside the US,number of naturalized citizens,number of non-citizens,number of people with a disability,Vibe,Activities,Gentrification_Flag
Arizona,Pheonix,Ahwatukee Foothills,36305.4285714286,18073.4285714286,18232.0,2105.57142857143,2332.28571428571,2780.57142857143,2416.85714285714,2097.28571428571,5467.71428571429,4942.14285714286,5259.28571428572,2414.85714285714,2093.57142857143,2810.85714285714,1227.0,357.428571428571,38.5142857142857,21155.7142857143,3485.71428571429,1046.42857142857,2609.57142857143,982.857142857143,464.14285714285694,142.285714285714,19864.1428571429,13048.7142857143,1583.14285714286,204.571428571429,125.571428571429,3568.14285714286,32933.8571428571,25.7,13262.0,13998.0,55.8571428571429,1214.14285714286,3154.0,4774.0,3163.57142857143,1118.14285714286,260.142857142857,163.714285714286,46.4285714285714,48.0,4276.85714285714,2274.85714285714,6852.28571428572,4169.28571428572,107436.571428571,1736.14285714286,30883.0,5300.0,2886.71428571429,2413.28571428571,3142.42857142857,Suburban tranquility with a desert charm; ideal for outdoor enthusiasts and families.,Hike South Mountain Park and Preserve. Golf at Ahwatukee Country Club. Shop and dine at Ahwatukee Foothills Towne Center.,0.0
Arizona,Pheonix,Alahambra,35381.0,17772.5,17608.5,2461.8,2427.7,2406.4,2657.7,2862.1,5657.5,4854.9,4197.8,1930.7,1755.4,2498.7,1128.2,542.1,34.55,18894.3,2922.4,1115.1,1197.6,160.9,193.7,48.5,18282.5,11125.5,2131.6,656.3,342.8,1846.1,29098.0,25.62,13577.8,14702.3,49.0,645.1,866.7,1166.6,2269.7,3435.4,2605.7,2744.2,639.3,280.6,5523.6,1653.3,3687.9,2157.9,59168.2,1198.3,27576.1,7620.9,2533.2,5087.7,5077.3,Culturally diverse and affordable; a mix of urban and suburban living.,Explore Phoenix Art Museum nearby. Dine at authentic Mexican and Asian eateries. Visit the historic Encanto Park.,1.0
Arizona,Pheonix,Camelback East,32076.5,16685.9166666667,15390.5833333333,1452.41666666667,1355.33333333333,1429.58333333333,2109.0,3497.75,6624.58333333333,4066.0,3489.83333333333,1831.83333333333,1697.25,2499.33333333333,1324.41666666667,699.166666666667,38.375,21947.1666666667,1687.25,728.916666666667,1433.16666666667,533.75,295.166666666667,119.5,19342.1666666667,12044.5833333333,1396.58333333333,477.083333333333,495.916666666667,3174.16666666667,28007.3333333333,21.8,14555.75,16415.6666666667,85.8333333333333,1650.91666666667,1634.25,1621.91666666667,2273.33333333333,3253.0,2627.5,2496.16666666667,499.083333333333,273.666666666667,3625.5833333333294,1509.58333333333,6362.25,4023.75,82302.9166666667,1473.41666666667,26959.5833333333,4899.41666666667,1903.91666666667,2995.5,3376.16666666667,"Upscale and trendy, with scenic views of Camelback Mountain.",Hike Camelback Mountain’s Echo Canyon Trail. Visit Desert Botanical Garden. Shop at Biltmore Fashion Park.,1.0
Arizona,Pheonix,Central City,26470.625,13832.0,12638.625,1782.875,1764.625,1894.875,2223.75,2351.25,5258.0,3700.75,3044.625,1302.375,1111.25,1267.75,576.125,192.375,31.5,12899.25,2554.0,839.125,471.25,125.0,63.375,55.75,13620.875,8193.5,1821.75,540.0,267.125,1459.375,19927.875,22.4,9365.375,10300.75,70.0,883.125,1220.625,882.625,1016.0,1351.5,1505.875,1710.75,810.125,850.125,4389.875,886.0,2244.875,1265.25,53035.0,1170.5,19272.125,6470.875,1751.875,4719.0,2819.375,The heart of Phoenix with a bustling downtown atmosphere.,Explore Roosevelt Row for street art and galleries. Catch a game or concert at Footprint Center. Visit the Arizona Science Center and Heritage Square.,1.0
Arizona,Pheonix,Deer Valley,34242.6363636364,16957.2727272727,17285.3636363636,1997.0,2088.81818181818,2153.18181818182,2049.45454545455,2024.0,5237.36363636364,4627.81818181818,4747.81818181818,2351.09090909091,2026.72727272727,3132.81818181818,1303.72727272727,502.818181818182,38.3727272727273,26214.9090909091,1243.81818181818,470.363636363636,1743.09090909091,758.090909090909,256.818181818182,22.6363636363636,19017.7272727273,12320.3636363636,1552.54545454545,158.545454545455,274.818181818182,3220.18181818182,31161.3636363636,26.8090909090909,13524.3636363636,14274.8181818182,55.1818181818182,1087.36363636364,3209.90909090909,3495.0,3299.36363636364,2578.81818181818,355.272727272727,109.272727272727,30.8181818181818,53.8181818181818,5092.72727272727,2520.81818181818,5442.36363636364,3230.0,92294.1818181818,1580.36363636364,29982.3636363636,4047.90909090909,2234.18181818182,1813.72727272727,3987.4545454545505,Suburban and family-oriented with easy access to nature.,Discover Cave Buttes Recreation Area. Tour the Musical Instrument Museum. Relax at Deer Valley Petroglyph Preserve.,0.0
Arizona,Pheonix,Desert View,29235.8888888889,14278.4444444444,14957.4444444444,1457.55555555556,1559.33333333333,1925.44444444444,1888.44444444444,1354.44444444444,2957.33333333333,3622.22222222222,4616.11111111111,2246.55555555556,1877.22222222222,3334.11111111111,1861.66666666667,535.444444444445,42.7888888888889,24252.5555555556,614.888888888889,88.3333333333333,1699.22222222222,674.444444444445,263.222222222222,18.3333333333333,15278.8888888889,9358.0,867.222222222222,32.6666666666667,146.333333333333,3813.22222222222,27608.2222222222,24.7555555555556,11954.0,13538.6666666667,123.333333333333,2250.88888888889,5067.11111111111,4467.33333333333,1152.11111111111,317.0,59.66666666666671,45.4444444444444,23.6666666666667,32.1111111111111,2701.88888888889,1726.66666666667,7101.55555555556,4809.33333333333,112751.666666667,1945.88888888889,25755.5555555556,3267.88888888889,2075.88888888889,1192.0,2511.0,"Peaceful and modern, with wide-open desert spaces.",Explore Cave Creek Regional Park. Dine at upscale Desert Ridge Marketplace. Attend outdoor concerts at the Musical Instrument Museum.,0.0
Arizona,Pheonix,Encanto,27823.0909090909,14420.6363636364,13402.4545454545,1703.0,1679.45454545455,1746.45454545455,1838.18181818182,2278.63636363636,5739.63636363636,3959.18181818182,3332.54545454545,1434.72727272727,1267.45454545455,1771.72727272727,782.818181818182,289.272727272727,34.0181818181818,15497.4545454545,2188.54545454545,834.0,772.090909090909,210.272727272727,134.181818181818,53.0909090909091,15377.0,9383.09090909091,1603.54545454545,578.909090909091,336.909090909091,2059.36363636364,22284.2727272727,22.7727272727273,11296.0,12562.6363636364,84.6363636363636,997.181818181818,1108.54545454545,1013.81818181818,1207.09090909091,2016.54545454545,2023.81818181818,2370.0,1012.45454545455,728.545454545455,4117.54545454546,1225.36363636364,3587.27272727273,2178.0,59805.0909090909,1257.27272727273,21208.4545454545,6012.0,1849.63636363636,4162.36363636364,3053.81818181818,Historic charm meets central convenience.,Stroll through Encanto Park and its golf courses. Visit Heard Museum for Native American art. Check out Midtown restaurants and cafes.,1.0
Arizona,Pheonix,Estrella,48059.7142857143,24458.4285714286,23601.2857142857,3723.5714285714303,4099.28571428572,4458.71428571429,4440.28571428572,3703.28571428571,7605.71428571429,7184.71428571429,5530.57142857143,2145.28571428571,1595.14285714286,2423.0,919.428571428571,230.714285714286,29.6285714285714,20486.2857142857,5141.42857142857,1665.28571428571,889.714285714286,118.714285714286,98.8571428571429,111.571428571429,22924.5714285714,15220.8571428571,2971.57142857143,387.85714285714306,157.571428571429,2283.42857142857,38984.2857142857,29.2142857142857,13359.2857142857,13879.4285714286,147.142857142857,1647.42857142857,6376.42857142857,688.571428571429,1128.14285714286,1855.42857142857,693.857142857143,787.714285714286,377.57142857142895,177.142857142857,8578.0,2275.42857142857,2702.14285714286,1593.14285714286,75022.0,1376.42857142857,36054.4285714286,11402.7142857143,4455.0,6947.71428571429,4662.0,Growing suburban area with natural beauty.,Visit Estrella Mountain Regional Park for hiking and biking. Attend community events at Estrella Lakeside Amphitheater. Golf at Tres Rios Golf Course.,0.0
Arizona,Pheonix,Laveen,47981.4,24570.0,23411.4,3500.6,3705.4,4201.0,3838.4,3136.8,7450.0,6954.0,5924.8,2666.0,2324.0,2889.2,1110.6,280.6,33.36,21330.4,5292.4,1477.8,1604.6,459.2,229.6,101.0,22983.6,14760.8,2864.8,414.0,194.8,2661.8,39191.8,27.62,14292.8,15037.2,173.8,1356.8,5452.6,2093.8,1510.6,1352.6,1020.2,1343.0,513.2,220.6,7987.6,2259.0,4324.2,2571.4,78073.6,1422.0,35616.0,11510.0,4409.6,7100.4,5038.6,Rural feel with new suburban developments.,Visit South Mountain for hiking and views. Explore local farms and farmers markets. Try authentic Mexican food spots.,0.0
Arizona,Pheonix,Maryvale,38732.1666666667,19710.9166666667,19021.25,2707.0,3075.33333333333,3447.0,3567.66666666667,3444.58333333333,5938.25,5457.91666666667,4551.16666666667,1927.91666666667,1633.25,1865.58333333333,824.166666666667,292.333333333333,30.2916666666667,18986.0,2614.66666666667,865.5,838.5,78.4166666666667,113.833333333333,66.0,18928.5833333333,12357.4166666667,2663.41666666667,376.666666666667,179.166666666667,1460.91666666667,30140.5833333333,28.525,11352.0833333333,11924.3333333333,119.583333333333,764.333333333333,2591.83333333333,1467.58333333333,1669.16666666667,2177.08333333333,1342.58333333333,1386.5,257.583333333333,148.083333333333,6862.66666666667,1684.33333333333,2112.75,1092.91666666667,68944.0833333333,1311.33333333333,27994.25,10235.5,3328.83333333333,6906.66666666667,4365.58333333333,"Vibrant and diverse, with an emphasis on community.",Catch a spring training game at American Family Fields. Dine at international cuisine spots. Visit Desert Sky Mall for shopping.,0.0
