State,City,Neighborhood,total population,number of males,number of females,number of people under 5,number of people aged 5-9,number of people aged 10-14,number of people aged 15-19,number of people aged 20-24,number of people aged 25-34,number of people aged 35-44,number of people aged 45-54,number of people aged 55-59,number of people aged 60-64,number of people aged 65-74,number of people aged 75-84,number of people aged over 85,median aged,number of white people,number of black people,number of native american people,number of asain people(including indian and chinese),number of indian people,number of chinese people,number of pacific islander,number of employeed people 16 and over,number of commuters who drive to work,number of commuter who carpool to work,number of commuter who took public transport to work,number of commuters who walk to work,number of commuters who work from home,people with health insurance,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,number of people 25 years or older who have high school degree,number of poeple 25 years or older who have an associates degree,number of people 25 years or older who have a bachelors degree,number of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,number of people born in the US,number of people born outside the US,number of naturalized citizens,number of non-citizens,number of people with a disability
Arizona,Pheonix,Ahwatukee Foothills,36305.42857142860,18073.428571428600,18232.0,2105.5714285714300,2332.285714285710,2780.5714285714300,2416.8571428571400,2097.285714285710,5467.714285714290,4942.142857142860,5259.285714285720,2414.8571428571400,2093.5714285714300,2810.8571428571400,1227.0,357.42857142857100,38.51428571428570,21155.714285714300,3485.714285714290,1046.4285714285700,2609.5714285714300,982.8571428571430,464.14285714285700,142.28571428571400,19864.14285714290,13048.714285714300,1583.142857142860,204.57142857142900,125.57142857142900,3568.1428571428600,32933.857142857100,25.7,13262.0,13998.0,55.857142857142900,1214.142857142860,3154.0,4774.0,3163.5714285714300,1118.142857142860,260.14285714285700,163.71428571428600,46.42857142857140,48.0,4276.857142857140,2274.8571428571400,6852.285714285720,4169.285714285720,107436.57142857100,1736.142857142860,30883.0,5300.0,2886.714285714290,2413.285714285710,3142.4285714285700
Arizona,Pheonix,Alahambra,35381.0,17772.5,17608.5,2461.8,2427.7,2406.4,2657.7,2862.1,5657.5,4854.9,4197.8,1930.7,1755.4,2498.7,1128.2,542.1,34.55,18894.3,2922.4,1115.1,1197.6,160.9,193.7,48.5,18282.5,11125.5,2131.6,656.3,342.8,1846.1,29098.0,25.620000000000000,13577.8,14702.3,49.0,645.1,866.7,1166.6,2269.7,3435.4,2605.7,2744.2,639.3,280.6,5523.6,1653.3,3687.9,2157.9,59168.2,1198.3,27576.1,7620.9,2533.2,5087.7,5077.3
Arizona,Pheonix,Camelback East,32076.5,16685.916666666700,15390.583333333300,1452.4166666666700,1355.3333333333300,1429.5833333333300,2109.0,3497.75,6624.583333333330,4066.0,3489.8333333333300,1831.8333333333300,1697.25,2499.3333333333300,1324.4166666666700,699.1666666666670,38.375,21947.166666666700,1687.25,728.9166666666670,1433.1666666666700,533.75,295.1666666666670,119.5,19342.166666666700,12044.583333333300,1396.5833333333300,477.0833333333330,495.9166666666670,3174.1666666666700,28007.333333333300,21.8,14555.75,16415.666666666700,85.83333333333330,1650.9166666666700,1634.25,1621.9166666666700,2273.3333333333300,3253.0,2627.5,2496.1666666666700,499.0833333333330,273.6666666666670,3625.5833333333300,1509.5833333333300,6362.25,4023.75,82302.91666666670,1473.4166666666700,26959.583333333300,4899.416666666670,1903.9166666666700,2995.5,3376.1666666666700
Arizona,Pheonix,Central City,26470.625,13832.0,12638.625,1782.875,1764.625,1894.875,2223.75,2351.25,5258.0,3700.75,3044.625,1302.375,1111.25,1267.75,576.125,192.375,31.5,12899.25,2554.0,839.125,471.25,125.0,63.375,55.75,13620.875,8193.5,1821.75,540.0,267.125,1459.375,19927.875,22.4,9365.375,10300.75,70.0,883.125,1220.625,882.625,1016.0,1351.5,1505.875,1710.75,810.125,850.125,4389.875,886.0,2244.875,1265.25,53035.0,1170.5,19272.125,6470.875,1751.875,4719.0,2819.375
Arizona,Pheonix,Deer Valley,34242.63636363640,16957.272727272700,17285.363636363600,1997.0,2088.818181818180,2153.181818181820,2049.4545454545500,2024.0,5237.363636363640,4627.818181818180,4747.818181818180,2351.090909090910,2026.7272727272700,3132.818181818180,1303.7272727272700,502.8181818181820,38.37272727272730,26214.909090909100,1243.8181818181800,470.3636363636360,1743.090909090910,758.0909090909090,256.8181818181820,22.636363636363600,19017.727272727300,12320.363636363600,1552.5454545454500,158.54545454545500,274.8181818181820,3220.181818181820,31161.363636363600,26.80909090909090,13524.363636363600,14274.818181818200,55.18181818181820,1087.3636363636400,3209.909090909090,3495.0,3299.3636363636400,2578.818181818180,355.27272727272700,109.27272727272700,30.818181818181800,53.81818181818180,5092.727272727270,2520.818181818180,5442.363636363640,3230.0,92294.18181818180,1580.3636363636400,29982.363636363600,4047.909090909090,2234.181818181820,1813.7272727272700,3987.4545454545500
Arizona,Pheonix,Desert View,29235.88888888890,14278.444444444400,14957.444444444400,1457.5555555555600,1559.3333333333300,1925.4444444444400,1888.4444444444400,1354.4444444444400,2957.3333333333300,3622.222222222220,4616.111111111110,2246.5555555555600,1877.2222222222200,3334.1111111111100,1861.6666666666700,535.4444444444450,42.78888888888890,24252.555555555600,614.8888888888890,88.33333333333330,1699.2222222222200,674.4444444444450,263.22222222222200,18.333333333333300,15278.888888888900,9358.0,867.2222222222220,32.666666666666700,146.33333333333300,3813.222222222220,27608.222222222200,24.755555555555600,11954.0,13538.666666666700,123.33333333333300,2250.8888888888900,5067.111111111110,4467.333333333330,1152.111111111110,317.0,59.666666666666700,45.44444444444440,23.666666666666700,32.111111111111100,2701.8888888888900,1726.6666666666700,7101.555555555560,4809.333333333330,112751.66666666700,1945.888888888890,25755.555555555600,3267.8888888888900,2075.8888888888900,1192.0,2511.0
Arizona,Pheonix,Encanto,27823.090909090900,14420.636363636400,13402.454545454500,1703.0,1679.4545454545500,1746.4545454545500,1838.1818181818200,2278.6363636363600,5739.636363636360,3959.181818181820,3332.5454545454500,1434.7272727272700,1267.4545454545500,1771.7272727272700,782.8181818181820,289.27272727272700,34.018181818181800,15497.454545454500,2188.5454545454500,834.0,772.0909090909090,210.27272727272700,134.1818181818180,53.09090909090910,15377.0,9383.09090909091,1603.5454545454500,578.9090909090910,336.90909090909100,2059.3636363636400,22284.272727272700,22.772727272727300,11296.0,12562.636363636400,84.63636363636360,997.1818181818180,1108.5454545454500,1013.8181818181800,1207.090909090910,2016.5454545454500,2023.8181818181800,2370.0,1012.4545454545500,728.5454545454550,4117.545454545460,1225.3636363636400,3587.2727272727300,2178.0,59805.09090909090,1257.2727272727300,21208.454545454500,6012.0,1849.6363636363600,4162.363636363640,3053.818181818180
Arizona,Pheonix,Estrella,48059.71428571430,24458.428571428600,23601.285714285700,3723.5714285714300,4099.285714285720,4458.714285714290,4440.285714285720,3703.285714285710,7605.714285714290,7184.714285714290,5530.571428571430,2145.285714285710,1595.142857142860,2423.0,919.4285714285710,230.71428571428600,29.62857142857140,20486.285714285700,5141.428571428570,1665.2857142857100,889.7142857142860,118.71428571428600,98.85714285714290,111.57142857142900,22924.571428571400,15220.857142857100,2971.5714285714300,387.85714285714300,157.57142857142900,2283.4285714285700,38984.28571428570,29.214285714285700,13359.285714285700,13879.42857142860,147.14285714285700,1647.4285714285700,6376.428571428570,688.5714285714290,1128.142857142860,1855.4285714285700,693.8571428571430,787.7142857142860,377.57142857142900,177.14285714285700,8578.0,2275.4285714285700,2702.1428571428600,1593.142857142860,75022.0,1376.4285714285700,36054.42857142860,11402.714285714300,4455.0,6947.714285714290,4662.0
Arizona,Pheonix,Laveen,47981.4,24570.0,23411.4,3500.6,3705.4,4201.0,3838.4,3136.8,7450.0,6954.0,5924.8,2666.0,2324.0,2889.2,1110.6,280.6,33.36,21330.4,5292.4,1477.8,1604.6,459.2,229.6,101.0,22983.6,14760.8,2864.8,414.0,194.8,2661.8,39191.8,27.620000000000000,14292.8,15037.2,173.8,1356.8,5452.6,2093.8,1510.6,1352.6,1020.2,1343.0,513.2,220.6,7987.6,2259.0,4324.2,2571.4,78073.6,1422.0,35616.0,11510.0,4409.6,7100.4,5038.6
Arizona,Pheonix,Maryvale,38732.166666666700,19710.916666666700,19021.25,2707.0,3075.3333333333300,3447.0,3567.6666666666700,3444.5833333333300,5938.25,5457.916666666670,4551.166666666670,1927.9166666666700,1633.25,1865.5833333333300,824.1666666666670,292.3333333333330,30.291666666666700,18986.0,2614.6666666666700,865.5,838.5,78.41666666666670,113.83333333333300,66.0,18928.583333333300,12357.416666666700,2663.4166666666700,376.6666666666670,179.16666666666700,1460.9166666666700,30140.583333333300,28.525000000000000,11352.083333333300,11924.333333333300,119.58333333333300,764.3333333333330,2591.8333333333300,1467.5833333333300,1669.1666666666700,2177.0833333333300,1342.5833333333300,1386.5,257.5833333333330,148.08333333333300,6862.666666666670,1684.3333333333300,2112.75,1092.9166666666700,68944.08333333330,1311.3333333333300,27994.25,10235.5,3328.8333333333300,6906.666666666670,4365.583333333330
