State,City,Borough/Area,Neighborhood,Zip Code,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0052E,DP03_0002E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0024E,DP03_0096E,DP03_0025E,B09019_003E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,S1501_C01_009E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S2503_C01_013E,S2503_C01_024E,S2701_C01_031E,S2701_C01_032E,S2701_C01_033E,S2701_C01_034E,S2701_C01_035E
New York,New York City,Bronx,Central Bronx,10453,80385.0,37656.0,42729.0,5476.0,6164.0,6693.0,5426.0,6056.0,11914.0,11016.0,10223.0,5421.0,4462.0,4855.0,2182.0,497.0,33.8,9782.0,26072.0,1214.0,1265.0,701.0,189.0,285.0,36871.0,4619.0,1209.0,19705.0,1958.0,2644.0,72367.0,44.9,28456.0,28859.0,0.0,1062.0,1454.0,1366.0,1645.0,3002.0,2242.0,2710.0,2339.0,13039.0,14578.0,3609.0,5756.0,1782.0,34800.0,1367.0,46747.0,33393.0,16000.0,17393.0,12524.0
New York,New York City,Bronx,Central Bronx,10457,79817.0,37001.0,42816.0,6785.0,6324.0,6929.0,5257.0,6555.0,13517.0,9899.0,9030.0,4438.0,3655.0,4735.0,2220.0,473.0,30.8,11647.0,34138.0,876.0,378.0,145.0,174.0,85.0,34692.0,4508.0,1037.0,19018.0,1867.0,1431.0,71739.0,45.1,26163.0,27161.0,21.0,1716.0,2070.0,2787.0,1386.0,2860.0,2148.0,1749.0,2385.0,10039.0,14163.0,3436.0,4929.0,2323.0,41145.0,1382.0,48475.0,30996.0,14646.0,16350.0,12930.0
New York,New York City,Bronx,Central Bronx,10460,59852.0,28068.0,31784.0,3983.0,4025.0,4676.0,4402.0,4366.0,9463.0,7649.0,7549.0,3863.0,3074.0,4263.0,1765.0,774.0,34.0,8055.0,20942.0,623.0,962.0,616.0,75.0,28.0,26779.0,4606.0,836.0,13675.0,1020.0,1398.0,55919.0,46.5,21814.0,23142.0,61.0,2717.0,1821.0,1754.0,956.0,2487.0,1800.0,1674.0,986.0,8886.0,11950.0,3082.0,4286.0,1189.0,33080.0,1338.0,40651.0,19183.0,9439.0,9744.0,10907.0
New York,New York City,Bronx,Bronx Park and Fordham,10458,82678.0,39967.0,42711.0,5585.0,6282.0,6248.0,7524.0,7758.0,13170.0,10200.0,10524.0,4456.0,2937.0,4894.0,2330.0,770.0,30.5,9276.0,15287.0,1053.0,2760.0,983.0,198.0,10.0,39618.0,4317.0,1044.0,19863.0,3773.0,2597.0,74526.0,45.3,29116.0,31146.0,91.0,826.0,835.0,856.0,560.0,1100.0,959.0,1453.0,1884.0,22582.0,13618.0,3288.0,4788.0,2315.0,41550.0,1513.0,47747.0,34775.0,13204.0,21571.0,9684.0
New York,New York City,Bronx,Bronx Park and Fordham,10467,98713.0,46807.0,51906.0,6341.0,6625.0,6864.0,6197.0,6416.0,15427.0,13523.0,12798.0,7114.0,5307.0,7228.0,3435.0,1438.0,35.9,18732.0,31581.0,1062.0,6256.0,1856.0,523.0,38.0,47243.0,8650.0,1827.0,23596.0,3192.0,2303.0,88842.0,45.5,38433.0,40529.0,0.0,1550.0,1285.0,1201.0,983.0,2916.0,4727.0,5197.0,4629.0,18041.0,19041.0,5120.0,8709.0,5574.0,46228.0,1484.0,59389.0,38107.0,19139.0,18968.0,14215.0
New York,New York City,Bronx,Bronx Park and Fordham,10468,81397.0,39976.0,41421.0,6671.0,5292.0,6148.0,5521.0,5412.0,13595.0,10916.0,9519.0,5010.0,4209.0,5299.0,2815.0,990.0,33.4,10404.0,19491.0,734.0,1873.0,65.0,217.0,249.0,38532.0,4522.0,759.0,21209.0,2398.0,2273.0,73136.0,46.4,28228.0,29270.0,39.0,1450.0,420.0,653.0,1483.0,1665.0,3217.0,2482.0,1768.0,16093.0,16033.0,3876.0,5028.0,2852.0,43985.0,1499.0,42982.0,37525.0,16253.0,21272.0,9829.0
New York,New York City,Bronx,High Bridge and Morrisania,10451,51311.0,23365.0,27946.0,3494.0,3602.0,3571.0,3444.0,3668.0,8720.0,7046.0,6450.0,2814.0,2205.0,3214.0,1899.0,1184.0,34.3,6985.0,23231.0,234.0,713.0,155.0,182.0,293.0,21853.0,2774.0,523.0,11975.0,1979.0,1015.0,47919.0,42.0,20965.0,21335.0,32.0,2683.0,2870.0,339.0,1350.0,1309.0,3360.0,2894.0,1886.0,4612.0,8939.0,2693.0,4591.0,2029.0,34316.0,1248.0,37420.0,13881.0,8184.0,5697.0,10282.0
New York,New York City,Bronx,High Bridge and Morrisania,10452,78624.0,37307.0,41317.0,5461.0,5955.0,6709.0,5901.0,5485.0,11861.0,10515.0,9919.0,5192.0,3239.0,5136.0,2344.0,907.0,33.1,10687.0,28025.0,758.0,868.0,347.0,120.0,64.0,34157.0,3255.0,1007.0,20080.0,2282.0,1749.0,73086.0,45.0,28260.0,28819.0,0.0,1343.0,2519.0,2307.0,1796.0,1789.0,2321.0,3553.0,2736.0,10455.0,14284.0,4664.0,4937.0,2116.0,36536.0,1323.0,48712.0,29808.0,16447.0,13361.0,12617.0
New York,New York City,Bronx,High Bridge and Morrisania,10456,88575.0,40207.0,48368.0,6718.0,6044.0,7100.0,6616.0,7045.0,12670.0,11287.0,10668.0,5869.0,4559.0,6546.0,2766.0,687.0,33.6,11426.0,41499.0,1243.0,627.0,207.0,63.0,0.0,36990.0,5704.0,802.0,18179.0,3555.0,1223.0,81119.0,42.3,32370.0,33141.0,148.0,2803.0,3534.0,2051.0,1331.0,2453.0,5360.0,3366.0,3021.0,9074.0,16305.0,4557.0,5140.0,1861.0,33317.0,1168.0,61263.0,26264.0,13608.0,12656.0,16871.0
New York,New York City,Bronx,Hunts Point and Mott Haven,10454,41073.0,19272.0,21801.0,2870.0,2975.0,3486.0,2598.0,3363.0,6668.0,5860.0,4418.0,2063.0,2290.0,2627.0,1444.0,411.0,33.1,5379.0,13083.0,959.0,180.0,43.0,4.0,374.0,16295.0,1717.0,244.0,8464.0,1816.0,736.0,36822.0,40.1,14737.0,15157.0,41.0,691.0,1163.0,809.0,644.0,1930.0,3172.0,2053.0,1312.0,3342.0,7296.0,1385.0,2323.0,668.0,26400.0,1020.0,29437.0,11580.0,5056.0,6524.0,8727.0
