State,City,Borough/Area,Neighborhood,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0052E,DP03_0002E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0024E,DP03_0096E,DP03_0025E,B09019_003E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,S1501_C01_009E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S2503_C01_013E,S2503_C01_024E,S2701_C01_031E,S2701_C01_032E,S2701_C01_033E,S2701_C01_034E,S2701_C01_035E
New York,New York City,Bronx,Bronx Park and Fordham,87596.0,42250.0,45346.0,6199.0,6066.333333333333,6420.0,6414.0,6528.666666666667,14064.0,11546.333333333334,10947.0,5526.666666666667,4151.0,5807.0,2860.0,1066.0,33.266666666666666,12804.0,22119.666666666668,949.6666666666666,3629.6666666666665,968.0,312.6666666666667,99.0,41797.666666666664,5829.666666666667,1210.0,21556.0,3121.0,2391.0,78834.66666666667,45.73333333333333,31925.666666666668,33648.333333333336,43.333333333333336,1275.3333333333333,846.6666666666666,903.3333333333334,1008.6666666666666,1893.6666666666667,2967.6666666666665,3044.0,2760.3333333333335,18905.333333333332,16230.666666666666,4094.6666666666665,6175.0,3580.3333333333335,43921.0,1498.6666666666667,50039.333333333336,36802.333333333336,16198.666666666666,20603.666666666668,11242.666666666666
New York,New York City,Bronx,Central Bronx,73351.33333333333,34241.666666666664,39109.666666666664,5414.666666666667,5504.333333333333,6099.333333333333,5028.333333333333,5659.0,11631.333333333334,9521.333333333334,8934.0,4574.0,3730.3333333333335,4617.666666666667,2055.6666666666665,581.3333333333334,32.86666666666667,9828.0,27050.666666666668,904.3333333333334,868.3333333333334,487.3333333333333,146.0,132.66666666666666,32780.666666666664,4577.666666666667,1027.3333333333333,17466.0,1615.0,1824.3333333333333,66675.0,45.5,25477.666666666668,26387.333333333332,27.333333333333332,1831.6666666666667,1781.6666666666667,1969.0,1329.0,2783.0,2063.3333333333335,2044.3333333333333,1903.3333333333333,10654.666666666666,13563.666666666666,3375.6666666666665,4990.333333333333,1764.6666666666667,36341.666666666664,1362.3333333333333,45291.0,27857.333333333332,13361.666666666666,14495.666666666666,12120.333333333334
New York,New York City,Bronx,High Bridge and Morrisania,72836.66666666667,33626.333333333336,39210.333333333336,5224.333333333333,5200.333333333333,5793.333333333333,5320.333333333333,5399.333333333333,11083.666666666666,9616.0,9012.333333333334,4625.0,3334.3333333333335,4965.333333333333,2336.3333333333335,926.0,33.666666666666664,9699.333333333334,30918.333333333332,745.0,736.0,236.33333333333334,121.66666666666667,119.0,31000.0,3911.0,777.3333333333334,16744.666666666668,2605.3333333333335,1329.0,67374.66666666667,43.1,27198.333333333332,27765.0,60.0,2276.3333333333335,2974.3333333333335,1565.6666666666667,1492.3333333333333,1850.3333333333333,3680.3333333333335,3271.0,2547.6666666666665,8047.0,13176.0,3971.3333333333335,4889.333333333333,2002.0,34723.0,1246.3333333333333,49131.666666666664,23317.666666666668,12746.333333333334,10571.333333333334,13256.666666666666
New York,New York City,Bronx,Hunts Point and Mott Haven,37174.25,17835.75,19338.5,2587.75,2872.0,2939.0,2831.0,2811.75,5910.5,5057.25,4188.0,2129.75,1929.25,2343.25,1259.0,315.75,32.475,4290.0,11922.75,480.5,273.5,84.5,59.25,122.25,16106.75,1969.5,637.0,8144.5,1357.25,891.5,33716.5,42.2,13151.0,13554.25,27.25,921.25,1540.5,1241.0,983.75,1296.75,1670.75,1353.25,1210.0,3309.75,6684.5,1768.75,2273.5,856.75,36069.5,1194.5,26479.25,10489.25,4974.75,5514.5,7148.25
New York,New York City,Bronx,Kingsbridge and Riverdale,46592.0,21417.5,25174.5,2734.0,2129.0,2893.0,2891.0,2697.5,5543.5,5650.5,5805.5,3008.0,2819.0,5585.5,3072.0,1763.5,43.599999999999994,21172.0,6627.0,606.5,1824.0,541.0,419.0,0.0,21889.0,5219.5,738.0,9030.5,1315.5,2520.0,43218.5,45.55,19265.5,19810.0,22.5,421.5,521.0,349.0,434.0,1533.5,4193.5,4458.5,2040.5,5836.0,5960.5,2076.0,7523.0,7933.0,89099.0,1522.5,32465.5,12583.5,8250.0,4333.5,7324.5
New York,New York City,Bronx,Northeast Bronx,50760.5,23363.0,27397.5,3325.5,2772.75,2983.0,3005.0,3326.5,7375.25,5844.0,6348.75,3457.75,3363.25,4812.5,2907.0,1239.25,39.775,6925.5,29792.75,321.0,1807.75,555.5,217.0,5.0,24146.0,7712.75,1316.0,9189.25,1098.75,1363.75,46687.75,46.125,18173.25,18936.25,22.25,280.5,609.25,474.0,586.75,1856.0,3968.25,3708.75,2191.5,5239.0,10344.0,3086.0,6061.25,3526.75,67594.0,1566.75,32100.0,17770.5,11954.5,5816.0,7149.25
New York,New York City,Bronx,Southeast Bronx,50678.5,24399.666666666668,26278.833333333332,3456.1666666666665,2962.3333333333335,3497.0,3192.5,3540.8333333333335,8074.833333333333,6294.0,6152.833333333333,3209.3333333333335,2784.8333333333335,4025.0,2486.1666666666665,1002.6666666666666,38.38333333333333,12522.0,12009.166666666666,407.6666666666667,4833.166666666667,1598.6666666666667,509.8333333333333,27.5,23505.833333333332,6989.833333333333,1104.0,9597.166666666666,1234.1666666666667,1326.1666666666667,46909.666666666664,44.300000000000004,18613.333333333332,19812.5,26.666666666666668,478.0,753.6666666666666,509.5,687.3333333333334,1580.6666666666667,3028.5,3377.3333333333335,2647.5,6723.333333333333,9560.666666666666,3048.8333333333335,5327.333333333333,3017.1666666666665,72389.0,1631.3333333333333,35631.333333333336,14723.166666666666,7967.166666666667,6756.0,7786.5
New York,New York City,Brooklyn,Borough Park ,84105.25,42377.25,41728.0,8045.75,7159.5,6961.25,5944.0,4638.75,11181.5,10348.0,9320.5,4242.0,4322.75,7112.25,3151.25,1677.75,33.4,49983.75,4262.75,585.0,18181.5,1732.75,11123.5,25.25,37005.5,6595.25,2207.0,13681.25,5064.5,4201.25,78488.5,39.625,26773.5,29125.25,18.5,608.5,971.75,748.5,1081.0,1328.5,2932.25,2831.5,3053.5,15551.25,13121.75,2908.75,10844.0,7714.0,67044.0,1725.5,52434.75,31323.0,18073.5,13249.5,7838.25
New York,New York City,Brooklyn,Bushwick and Williamsburg ,76122.66666666667,36640.333333333336,39482.333333333336,4610.666666666667,4106.666666666667,4674.333333333333,4179.333333333333,6578.333333333333,19171.0,10881.333333333334,7899.333333333333,3282.0,3226.0,4538.0,2183.0,792.6666666666666,31.766666666666666,25245.666666666668,21823.333333333332,906.0,4520.0,587.6666666666666,2225.0,105.33333333333333,41473.0,4269.0,1043.6666666666667,21097.333333333332,3033.6666666666665,5633.666666666667,69805.0,40.56666666666667,28485.333333333332,30249.666666666668,129.66666666666666,2754.0,2930.6666666666665,1517.0,1176.0,1693.6666666666667,2307.3333333333335,2141.6666666666665,1827.6666666666667,13772.0,12225.333333333334,2832.0,13467.666666666666,6101.0,69414.33333333333,1834.0,57030.0,18995.0,10002.333333333334,8992.666666666666,8264.0
New York,New York City,Brooklyn,Canarsie and Flatlands ,68955.33333333333,31388.333333333332,37567.0,3621.3333333333335,3949.3333333333335,4481.333333333333,4182.666666666667,4115.0,8426.0,8739.0,8605.333333333334,4700.333333333333,4823.0,7341.0,4267.666666666667,1703.3333333333333,42.699999999999996,13963.0,44012.333333333336,259.6666666666667,3465.0,394.6666666666667,1850.0,7.0,32837.666666666664,10919.0,1984.6666666666667,13687.666666666666,900.6666666666666,2145.3333333333335,65227.333333333336,50.46666666666667,24986.333333333332,26989.0,68.66666666666667,559.0,859.0,574.6666666666666,657.3333333333334,3080.0,6307.666666666667,4836.0,2537.6666666666665,7509.0,14854.0,4398.666666666667,9598.666666666666,6063.666666666667,69978.0,1685.6666666666667,41049.666666666664,27587.333333333332,21025.0,6562.333333333333,7000.666666666667
